,name,hospital,distance
178,178,武汉市第四医院,0.68
179,179,武汉市中心医院(后湖院区),1.83
180,180,武警湖北省总队医院,0.46
181,181,武汉市汉口医院,3.52
182,182,武汉市第七医院,1.56
183,183,湖北省中西医结合医院,3.21
184,184,武汉科技大学附属天佑医院,1.75
185,185,武汉市江夏区第一人民医院,1.15
186,186,湖北省中医院,1.39
187,187,武汉市第九医院,1.86
188,188,武汉科技大学附属天佑医院,0.87
189,189,武汉龙阳医院,0.74
190,190,华润武钢总医院,2.0
191,191,武汉市中心医院,0.81
192,192,武汉市汉口医院,5.29
193,193,武汉市第三医院光谷院区,3.95
194,194,华润武钢总医院,1.67
195,195,湖北省中医院（光谷院区）,3.23
196,196,武汉市江夏区第一人民医院,7.13
197,197,武汉市儿童医院,1.46
198,198,湖北省中医院,0.21
199,199,武汉市中心医院(后湖院区),0.8
200,200,武汉市紫荆医院,1.49
201,201,武汉市汉阳医院,1.9
202,202,武汉市第七医院,1.49
203,203,武汉太康医院,4.96
204,204,中部战区总医院（汉口院区）,2.54
205,205,湖北省中医院,1.39
206,206,华中科技大学同济医院附属梨园医院,2.56
207,207,武汉市肺科医院,6.35
208,208,武汉市汉口医院,3.59
209,209,湖北省中西医结合医院,3.21
210,210,武汉亚洲心脏病医院,0.43
211,211,武汉市第九医院,2.24
212,212,武汉市第五医院,0.97
213,213,武汉市第五医院,2.9
214,214,武汉市汉口医院,3.08
215,215,武汉太康医院,4.96
216,216,中部战区总医院（汉口院区）,2.83
217,217,武汉市肺科医院,2.26
218,218,武汉市肺科医院,5.83
219,219,武汉市第八医院,1.02
220,220,武汉市汉口医院,2.45
221,221,武汉市汉口医院,0.87
222,222,武汉大学人民医院,3.23
223,223,湖北省第三人民医院,0.61
224,224,湖北省妇幼保健院,3.38
225,225,武汉大学人民医院,3.0
226,226,武汉市中医医院（汉阳院区）,1.94
227,227,武汉市汉口医院,3.84
228,228,武汉太康医院,7.38
229,229,武汉大学人民医院,1.65
230,230,武汉龙阳医院,2.5
231,231,武汉科技大学附属天佑医院,0.62
232,232,武汉市第三医院光谷院区,1.21
233,233,武汉亚心总医院,1.52
234,234,武汉市第九医院,2.73
235,235,武汉太康医院,4.41
236,236,武汉市中心医院,0.26
237,237,武汉市金银潭医院,2.7
238,238,武汉市中心医院(后湖院区),3.64
239,239,武汉市第七医院,1.23
240,240,武汉市汉口医院,3.35
241,241,武汉市汉口医院,5.29
242,242,武汉市肺科医院,5.3
243,243,武汉市第三医院光谷院区,4.39
244,244,解放军中部战区总医院,1.0
245,245,武汉太康医院,5.27
246,246,武汉市第六医院,0.78
247,247,湖北六七二中西医结合骨科医院,5.77
248,248,武汉科技大学附属天佑医院,0.7
249,249,武汉市汉口医院,3.84
250,250,武汉市武昌医院,1.61
251,251,武汉市中心医院,0.58
252,252,武汉龙阳医院,3.23
253,253,武汉龙阳医院,2.31
254,254,武汉市汉阳医院,1.51
255,255,湖北省第三人民医院,4.33
256,256,武警湖北省总队医院,2.54
257,257,武汉市中心医院(后湖院区),6.61
258,258,华润武钢总医院,1.18
259,259,武汉市江夏区第一人民医院,2.13
260,260,武汉市汉阳医院,1.13
261,261,武汉市第一医院,0.42
262,262,武汉市汉阳医院,0.86
263,263,武汉市蔡甸区中医医院,11.52
264,264,武汉科技大学附属天佑医院,0.62
265,265,华中科技大学同济医院附属梨园医院,1.72
266,266,湖北省中医院,0.76
267,267,武汉市红十字会医院,1.42
268,268,武汉市肺科医院,1.14
269,269,武汉市肺科医院,7.35
270,270,武汉市第三医院,0.77
271,271,武汉龙阳医院,3.11
272,272,武汉市红十字会医院,1.4
273,273,武汉龙阳医院,7.58
274,274,华中科技大学同济医院附属梨园医院,3.43
275,275,武汉市第三医院光谷院区,1.24
276,276,湖北省荣军医院,2.1
277,277,湖北省中西医结合医院,3.46
278,278,华中科技大学同济医学院附属协和医院,1.32
279,279,武汉市肺科医院,7.08
280,280,武汉大学人民医院,3.67
281,281,武汉市第六医院,0.71
282,282,武汉市肺科医院,3.73
283,283,武汉市中医医院,1.14
284,284,武汉市中心医院,0.12
285,285,长江航运总医院,1.86
286,286,武汉大学人民医院,8.56
287,287,武汉市武昌医院,1.89
288,288,武汉市第五医院,1.23
289,289,华中科技大学同济医院附属梨园医院,0.98
290,290,武汉市金银潭医院,0.0
291,291,武汉市石化医院,2.3
292,292,武汉科技大学附属天佑医院,4.06
293,293,武汉市肺科医院,2.88
294,294,武汉市汉阳医院,0.41
295,295,华中科技大学同济医院附属梨园医院,1.28
296,296,华中科技大学同济医院附属梨园医院,1.89
297,297,武汉市第一医院,1.25
298,298,武汉市黄陂区人民医院,1.55
299,299,武汉市中心医院(后湖院区),2.88
300,300,武汉市第九医院,1.61
301,301,武汉太康医院,7.8
302,302,武汉市中心医院(后湖院区),0.92
303,303,武汉市肺科医院,4.48
304,304,武汉市中心医院(后湖院区),0.8
305,305,华中科技大学同济医学院附属同济医院,0.73
306,306,武汉市汉阳医院,2.98
307,307,武汉龙阳医院,2.61
308,308,武汉市第三医院光谷院区,1.26
309,309,武汉市中心医院(后湖院区),0.71
310,310,湖北省中医院,2.62
311,311,华中科技大学同济医院附属梨园医院,2.04
312,312,武汉市汉南区人民医院,1.06
313,313,武汉市第三医院光谷院区,0.44
314,314,湖北省荣军医院,1.63
315,315,武汉市中心医院(后湖院区),1.91
316,316,武汉市红十字会医院,4.28
317,317,武汉市汉口医院,4.8
318,318,武汉市第九医院,0.95
319,319,武汉市第三医院,0.77
320,320,武汉市汉阳医院,2.22
321,321,武汉市肺科医院,4.29
322,322,武汉太康医院,3.32
323,323,武汉市第九医院,1.87
324,324,武汉市汉口医院,4.8
325,325,华中科技大学同济医院附属梨园医院,3.11
326,326,武汉市第九医院,2.84
327,327,武汉龙阳医院,2.2
328,328,武汉市汉口医院,2.1
329,329,武汉太康医院,1.93
330,330,武汉大学人民医院,0.92
331,331,武汉市新洲区人民医院,15.48
332,332,武汉太康医院,7.06
333,333,武汉市第一医院,0.72
334,334,湖北六七二中西医结合骨科医院,1.77
335,335,武汉大学人民医院,8.35
336,336,湖北省荣军医院,1.97
337,337,武汉市普仁医院,1.46
338,338,武汉市汉阳医院,1.98
339,339,武汉市普仁医院,1.46
340,340,长江航运总医院,2.12
341,341,武汉市中心医院(后湖院区),3.84
342,342,武汉市肺科医院,4.26
343,343,武汉太康医院,4.41
344,344,武汉市第七医院,0.79
345,345,华润武钢总医院,1.12
346,346,湖北省中医院（光谷院区）,2.41
347,347,武汉太康医院,3.9
348,348,武汉市第三医院,0.71
349,349,武汉市武昌医院,2.62
350,350,湖北省第三人民医院,0.83
351,351,武汉市武昌医院,2.23
352,352,中部战区总医院（汉口院区）,1.42
353,353,武汉市汉口医院,4.37
354,354,武汉市第四医院,0.91
355,355,武汉市第三医院,0.72
356,356,武汉龙阳医院,1.74
357,357,武汉市第四医院,0.39
358,358,武汉市第六医院,0.37
359,359,武汉市中医医院（汉阳院区）,2.0
360,360,武汉市肺科医院,6.32
361,361,武汉市汉阳医院,1.91
362,362,华润武钢总医院,0.91
363,363,武钢第二职工医院,0.49
364,364,武汉市中心医院(后湖院区),7.07
365,365,武汉市汉阳医院,2.04
366,366,武汉龙阳医院,1.47
367,367,武汉市汉口医院,3.35
368,368,武汉太康医院,6.74
369,369,武汉龙阳医院,3.02
370,370,武汉市肺科医院,2.88
371,371,武汉市紫荆医院,2.34
372,372,武汉市金银潭医院,3.62
373,373,武汉市金银潭医院,2.52
374,374,武汉市中心医院,1.44
375,375,武汉市紫荆医院,0.13
376,376,华中科技大学同济医院附属梨园医院,3.5
377,377,武汉市第五医院,1.16
378,378,武汉市第四医院,1.03
379,379,武汉市第八医院,0.94
380,380,武汉市紫荆医院,0.79
381,381,中部战区总医院（汉口院区）,1.56
382,382,武汉市红十字会医院,2.9
383,383,武汉市中心医院(后湖院区),0.69
384,384,武汉市第四医院,0.72
385,385,武汉大学人民医院,0.92
386,386,武汉科技大学附属天佑医院,3.76
387,387,武汉市中医医院（汉阳院区）,1.85
388,388,武汉市第四医院,0.86
389,389,武汉龙阳医院,1.42
390,390,武汉市儿童医院,1.19
391,391,湖北省荣军医院,1.89
392,392,武汉市第五医院,2.39
393,393,武汉市中心医院(后湖院区),2.21
394,394,武汉市红十字会医院,2.92
395,395,武汉市中心医院(后湖院区),2.78
396,396,武汉市中医医院（汉阳院区）,2.77
397,397,武汉市肺科医院,5.48
398,398,武汉市第九医院,1.38
399,399,华中科技大学同济医学院附属同济医院,1.77
400,400,武汉市汉口医院,3.69
401,401,武汉市汉口医院,3.08
402,402,武汉市中心医院,0.46
403,403,武汉市肺科医院,4.74
404,404,武汉市第七医院,1.84
405,405,湖北六七二中西医结合骨科医院,1.09
406,406,长江航运总医院,1.86
407,407,武汉科技大学附属天佑医院,1.18
408,408,武汉市第五医院,1.9
409,409,中部战区总医院（汉口院区）,2.02
410,410,武汉市武昌医院,1.65
411,411,湖北省中西医结合医院,0.79
412,412,武汉市肺科医院,5.51
413,413,武汉市汉阳医院,2.17
414,414,武汉市汉口医院,3.76
415,415,华润武钢总医院,1.67
416,416,湖北省中医院,1.39
417,417,武汉市新洲区中医医院,12.02
418,418,武汉市中南医院,1.49
419,419,武汉市汉阳医院,3.55
420,420,武汉市中医医院,1.14
421,421,武汉市第三医院光谷院区,0.71
422,422,武汉市肺科医院,6.82
423,423,武汉市第七医院,1.36
424,424,武汉大学人民医院,10.27
425,425,武汉市中医医院,0.56
426,426,武汉亚心总医院,1.52
427,427,武汉太康医院,7.38
428,428,武汉市汉口医院,4.8
429,429,武汉市肺科医院,3.91
430,430,华润武钢总医院,1.64
431,431,武汉市第八医院,0.74
432,432,湖北省荣军医院,6.44
433,433,武汉市第八医院,0.74
434,434,湖北省第三人民医院,0.46
435,435,武汉市汉南区人民医院,26.13
436,436,武汉市中心医院(后湖院区),4.17
437,437,武汉市肺科医院,5.79
438,438,武汉市肺科医院,0.26
439,439,武汉市肺科医院,0.6
440,440,武警湖北省总队医院,0.67
441,441,武汉市肺科医院,6.49
442,442,武汉市第三医院,0.26
443,443,华中科技大学同济医学院附属同济医院（光谷院区）,12.17
444,444,湖北省第三人民医院,6.57
445,445,武汉市中医医院（汉阳院区）,2.88
446,446,武汉龙阳医院,1.21
447,447,华中科技大学同济医学院附属协和医院（西院）,4.2
448,448,武汉市江夏区中医医院,7.14
449,449,武汉市黄陂区人民医院,30.85
450,450,武汉亚洲心脏病医院,1.12
451,451,武汉太康医院,6.38
452,452,武汉市第九医院,0.96
453,453,中部战区总医院（汉口院区）,0.75
454,454,武汉市第三医院,0.72
455,455,武汉市中心医院(后湖院区),2.81
456,456,武汉市第七医院,1.87
457,457,中部战区总医院（汉口院区）,2.21
458,458,武汉科技大学附属天佑医院,0.82
459,459,武汉市中心医院,0.92
460,460,湖北省荣军医院,0.49
461,461,武汉大学人民医院,0.35
462,462,湖北省荣军医院,1.44
463,463,武汉市汉口医院,4.1
464,464,武汉大学人民医院,1.1
465,465,武汉市黄陂区中医医院,8.27
466,466,华中科技大学同济医学院附属同济医院,0.0
467,467,武汉市普仁医院,20.31
468,468,武汉科技大学附属天佑医院,4.35
469,469,武汉市黄陂区人民医院,0.0
470,470,武汉科技大学附属天佑医院,7.61
471,471,武汉市中医医院,0.92
472,472,武汉市第九医院,1.3
473,473,武汉市普仁医院,1.46
474,474,华中科技大学同济医院附属梨园医院,3.35
475,475,武汉太康医院,3.4
476,476,武汉市汉阳医院,1.18
477,477,武汉市紫荆医院,0.78
478,478,武汉市蔡甸区中医医院,11.77
479,479,武汉市中医医院（汉阳院区）,1.85
480,480,华中科技大学同济医学院附属同济医院（光谷院区）,15.89
481,481,武汉市第九医院,2.46
482,482,武汉市红十字会医院,4.28
483,483,武汉市肺科医院,3.11
484,484,湖北省中医院,0.51
485,485,武汉市第七医院,1.8
486,486,武汉市第五医院,1.16
487,487,武汉市第三医院光谷院区,0.71
488,488,华中科技大学同济医学院附属同济医院（光谷院区）,8.33
489,489,武汉市中医医院,0.46
490,490,武汉市第一医院,0.81
491,491,武汉市第九医院,1.3
492,492,武汉市第九医院,1.9
493,493,武汉市汉口医院,3.12
494,494,武汉市普仁医院,20.61
495,495,中部战区总医院（汉口院区）,1.42
496,496,中部战区总医院（汉口院区）,1.35
497,497,华润武钢总医院,0.62
498,498,长江航运总医院,1.08
499,499,湖北省第三人民医院,0.92
500,500,华中科技大学同济医院附属梨园医院,2.69
501,501,湖北省第三人民医院,0.19
502,502,武汉市黄陂区中医医院,0.91
503,503,武汉市肺科医院,5.72
504,504,武汉市石化医院,2.9
505,505,武钢第二职工医院,1.16
506,506,武汉市紫荆医院,2.89
507,507,武汉市中南医院,2.14
508,508,武汉市中医医院（汉阳院区）,0.97
509,509,武汉市金银潭医院,3.24
510,510,武汉市中医医院,1.14
511,511,湖北省中医院（光谷院区）,2.41
512,512,武汉济和医院,0.0
513,513,湖北省第三人民医院,0.19
514,514,长江航运总医院,1.09
515,515,武汉科技大学附属天佑医院,3.5
516,516,武汉市第一医院,0.78
517,517,武汉太康医院,6.74
518,518,武汉市紫荆医院,2.89
519,519,武汉市肺科医院,4.73
520,520,武汉市肺科医院,7.22
521,521,武汉市武昌医院,1.72
522,522,武汉大学人民医院,1.23
523,523,武汉市武昌医院,2.23
524,524,武汉市中心医院(后湖院区),7.07
525,525,武汉市肺科医院,3.87
526,526,华润武钢总医院,0.8
527,527,武钢第二职工医院,0.81
528,528,武汉大学人民医院,8.74
529,529,武汉市红十字会医院,4.9
530,530,华润武钢总医院,2.56
531,531,武汉市中医医院（汉阳院区）,1.46
532,532,华润武钢总医院,2.53
533,533,武汉市第五医院,1.56
534,534,武汉市第六医院,0.47
535,535,武汉市第七医院,1.49
536,536,武汉市武昌医院,1.61
537,537,武汉市中心医院(后湖院区),3.56
538,538,武汉市中医医院（汉阳院区）,1.93
539,539,武汉市肺科医院,5.72
540,540,武汉市第五医院,2.9
541,541,武汉科技大学附属天佑医院,4.03
542,542,武汉市第九医院,0.52
543,543,武汉市武昌医院,0.42
544,544,武汉市中医医院,1.14
545,545,长江航运总医院,1.86
546,546,武汉市武昌医院,2.31
547,547,武汉市第六医院,0.64
548,548,湖北省第三人民医院,0.92
549,549,武汉市第九医院,0.52
550,550,武汉市石化医院,3.38
551,551,武汉市第三医院光谷院区,0.77
552,552,武汉市肺科医院,6.68
553,553,武汉龙阳医院,3.2
554,554,武汉市汉口医院,2.25
555,555,武汉龙阳医院,2.19
556,556,武汉市中医医院,1.14
557,557,武汉市普仁医院,1.46
558,558,武汉科技大学附属天佑医院,0.59
559,559,武汉市汉口医院,3.76
560,560,武汉市中心医院(后湖院区),3.56
561,561,武汉市肺科医院,5.09
562,562,武汉市第七医院,1.84
563,563,武汉市中心医院(后湖院区),4.07
564,564,武汉大学人民医院,8.14
565,565,武汉大学人民医院,1.26
566,566,武汉市武昌医院,1.74
567,567,武汉亚洲心脏病医院,0.62
568,568,湖北省第三人民医院,0.96
569,569,武汉市肺科医院,3.18
570,570,武汉大学人民医院,7.71
571,571,武汉市中心医院(后湖院区),1.45
572,572,武汉市第一医院,0.71
573,573,武汉市肺科医院,0.5
574,574,武汉市蔡甸区中医医院,1.8
575,575,武汉龙阳医院,6.03
576,576,武汉市汉阳医院,1.26
577,577,武钢第二职工医院,10.95
578,578,武汉市中心医院(后湖院区),3.13
579,579,武汉市中心医院(后湖院区),0.62
580,580,华中科技大学同济医院附属梨园医院,3.35
581,581,武汉市第五医院,1.35
582,582,长江航运总医院,1.28
583,583,华中科技大学同济医院附属梨园医院,2.46
584,584,武汉市汉口医院,1.38
585,585,华润武钢总医院,2.44
586,586,武汉市第七医院,1.18
587,587,武汉市第五医院,1.24
588,588,武汉市红十字会医院,3.31
589,589,武汉太康医院,6.74
590,590,武汉科技大学附属天佑医院,2.06
591,591,长江航运总医院,1.25
592,592,华中科技大学同济医学院附属同济医院（光谷院区）,14.95
593,593,武汉市肺科医院,6.32
594,594,武汉龙阳医院,2.45
595,595,武汉市第九医院,0.41
596,596,武汉市汉口医院,3.37
597,597,中部战区总医院（汉口院区）,1.42
598,598,武汉市中心医院(后湖院区),7.07
599,599,武汉市第三医院,1.22
600,600,武汉市第九医院,1.88
601,601,湖北省第三人民医院,6.42
602,602,武汉市肺科医院,5.37
603,603,湖北省第三人民医院,4.33
604,604,武汉市第三医院,0.72
605,605,华中科技大学同济医院附属梨园医院,2.86
606,606,武汉科技大学附属天佑医院,7.61
607,607,武汉科技大学附属天佑医院,8.27
608,608,武汉市武昌医院,2.94
609,609,武汉市中医医院（汉阳院区）,1.06
610,610,武汉市第三医院,0.77
611,611,武汉市第三医院光谷院区,3.4
612,612,武汉市第三医院光谷院区,2.24
613,613,华中科技大学同济医院附属梨园医院,1.52
614,614,武汉市第七医院,1.45
615,615,武汉大学人民医院,3.23
616,616,武汉市汉口医院,3.11
617,617,武汉龙阳医院,2.52
618,618,武汉市第六医院,0.39
619,619,武汉亚洲心脏病医院,0.62
620,620,武汉市武昌医院,2.33
621,621,中部战区总医院（汉口院区）,2.54
622,622,武汉市汉口医院,0.95
623,623,湖北省第三人民医院,0.46
624,624,武汉大学人民医院,1.65
625,625,武汉市中心医院(后湖院区),0.92
626,626,武汉市黄陂区人民医院,0.0
627,627,武汉市第九医院,1.3
628,628,武汉市肺科医院,1.38
629,629,武汉大学人民医院,8.8
630,630,武汉大学人民医院,5.84
631,631,武汉市第九医院,2.39
632,632,武汉市第三医院光谷院区,1.34
633,633,武汉市中南医院,2.96
634,634,武汉市肺科医院,2.25
635,635,武汉市第三医院光谷院区,0.39
636,636,湖北省第三人民医院,6.57
637,637,湖北省妇幼保健院,1.83
638,638,武汉市紫荆医院,2.84
639,639,武钢第二职工医院,1.08
640,640,湖北省中医院（光谷院区）,1.43
641,641,武汉市武昌医院,3.07
642,642,湖北省中医院,1.58
643,643,武汉亚洲心脏病医院,0.45
644,644,武汉市第九医院,2.39
645,645,武汉市紫荆医院,1.6
646,646,武汉市第九医院,0.67
647,647,武汉市第八医院,1.1
648,648,武汉市汉口医院,4.46
649,649,武汉市汉阳医院,1.5
650,650,武汉市汉口医院,2.94
651,651,武汉大学人民医院,0.83
652,652,武汉市中心医院(后湖院区),2.95
653,653,武汉市武昌医院,2.33
654,654,华中科技大学同济医学院附属同济医院,0.0
655,655,武汉市中心医院(后湖院区),2.52
656,656,武汉龙阳医院,2.53
657,657,湖北省妇幼保健院,0.0
658,658,武汉市肺科医院,4.44
659,659,武汉市中心医院(后湖院区),1.23
660,660,武汉亚洲心脏病医院,1.35
661,661,武汉市肺科医院,5.98
662,662,武汉市第九医院,0.56
663,663,武汉市中心医院(后湖院区),1.1
664,664,武汉市第四医院,0.41
665,665,武汉市中心医院(后湖院区),2.78
666,666,武汉市第四医院,0.36
667,667,武汉市第三医院光谷院区,1.24
668,668,武汉市武昌医院,2.61
669,669,武汉市第三医院光谷院区,1.24
670,670,武汉市第九医院,1.44
671,671,湖北省中医院（光谷院区）,2.41
672,672,武汉市第九医院,2.79
673,673,武汉龙阳医院,3.23
674,674,武汉市第五医院,2.0
675,675,武汉市第四医院,0.39
676,676,武汉太康医院,6.74
677,677,武汉市中医医院,0.8
678,678,武汉市第九医院,0.8
679,679,湖北省第三人民医院,0.35
680,680,武汉科技大学附属天佑医院,2.32
681,681,武汉太康医院,6.54
682,682,湖北六七二中西医结合骨科医院,1.77
683,683,华润武钢总医院,1.67
684,684,武汉市紫荆医院,1.91
685,685,武汉市汉阳医院,0.77
686,686,武汉市第四医院,1.22
687,687,武汉市第七医院,0.67
688,688,湖北省妇幼保健院,0.36
689,689,华中科技大学同济医院附属梨园医院,2.59
690,690,武汉市第六医院,0.66
691,691,湖北省第三人民医院,0.32
692,692,武汉市第四医院,0.68
693,693,武警湖北省总队医院,1.94
694,694,湖北省中西医结合医院,0.79
695,695,武汉市第四医院,0.36
696,696,长江航运总医院,1.06
697,697,华中科技大学同济医学院附属协和医院,0.51
698,698,武汉市中医医院（汉阳院区）,2.77
699,699,武汉市肺科医院,5.72
700,700,武汉市肺科医院,6.05
701,701,武汉大学人民医院,4.7
702,702,武汉市汉阳医院,1.3
703,703,武汉科技大学附属天佑医院,0.72
704,704,武汉市第九医院,0.52
705,705,武汉市第一医院,0.75
706,706,武汉市第一医院,1.23
707,707,华中科技大学同济医院附属梨园医院,2.06
708,708,武汉市第九医院,0.96
709,709,武汉市第五医院,4.0
710,710,武汉市汉阳医院,0.86
711,711,湖北省妇幼保健院,1.6
712,712,武汉市武昌医院,2.09
713,713,湖北省妇幼保健院,0.77
714,714,武汉太康医院,2.93
715,715,武汉市石化医院,2.62
716,716,武汉市肺科医院,6.32
717,717,武汉市第九医院,1.87
718,718,武汉市中医医院,0.11
719,719,武汉市中医医院（汉阳院区）,2.44
720,720,武汉市武东医院,2.32
721,721,武汉大学人民医院,3.54
722,722,武汉市第五医院,2.75
723,723,湖北六七二中西医结合骨科医院,0.99
724,724,武汉市汉阳医院,0.77
725,725,武汉市普仁医院,1.46
